Point No.,Shear Rate,Viscosity,Temperature,Particle Size
214,395,18834,20.09,300
215,474,9551.3,20.08,300
216,567,3765.8,20.06,300
217,679,1150,20.02,300
218,813,77.595,19.98,300
219,1.40E+03,0.067272,19.93,300
220,1.67E+03,0.19842,19.93,300
221,2.00E+03,0.073463,19.94,300
222,0.1,30374,29.94,300
223,0.12,26707,29.95,300
224,0.143,23553,29.95,300
225,0.172,20766,29.95,300
226,0.205,18329,29.96,300
227,0.246,16199,29.96,300
228,0.295,14368,29.96,300
229,0.353,12759,29.96,300
230,0.422,11352,29.97,300
231,0.506,10114,29.97,300
232,0.605,9032.7,29.97,300
233,0.725,8094.9,29.98,300
234,0.868,7258.6,29.98,300
235,1.04,6527.6,29.98,300
236,1.24,5880.2,29.98,300
237,1.49,5318.7,29.99,300
238,1.78,4805,29.99,300
239,2.14,4361.7,29.98,300
240,2.56,3969.1,29.98,300
241,3.06,3612.4,29.99,300
242,3.66,3310.5,29.99,300
243,4.39,2995.6,29.99,300
244,5.25,2750.2,29.99,300
245,6.29,2534.3,29.99,300
246,7.53,2341.8,29.99,300
247,9.02,2157.6,29.99,300
248,10.8,2001.9,29.99,300
249,12.9,1864.2,29.99,300
250,15.5,1735.1,29.99,300
251,18.5,1624.7,29.99,300
252,22.2,1522.7,29.99,300
253,26.6,1437.9,29.99,300
254,31.8,1360,29.99,300
255,38.1,1302.2,29.99,300
256,45.6,1258.6,29.99,300
257,54.6,1230.2,30,300
258,65.3,1229.7,30,300
259,78.2,1292.6,30,300
260,93.7,1580.5,30,300
261,112,9866.3,30,300
262,134,17470,30,300
263,161,23928,30.01,300
264,192,28084,30.01,300
265,230,30205,30.02,300
266,276,31684,30.04,300
267,330,31823,30.06,300
268,395,29867,30.09,300
269,473,26821,30.12,300
270,567,23150,30.16,300
271,679,18192,30.21,300
272,814,1635.3,30.23,300
273,1.40E+03,910.69,30.05,300
274,1.67E+03,16.247,30.02,300
275,2.00E+03,10.013,29.99,300
276,0.1,25296,40,300
277,0.12,22270,40.01,300
278,0.143,19632,40.01,300
279,0.172,17289,40,300
280,0.205,15251,40,300
281,0.246,13476,40.01,300
282,0.295,11947,40.01,300
283,0.353,10621,40.01,300
284,0.422,9381,40,300
285,0.506,8334.6,40.01,300
286,0.605,7429.8,40.01,300
287,0.725,6638.2,40.01,300
288,0.868,5928.8,40,300
289,1.04,5318.6,40,300
290,1.24,4766.5,40,300
291,1.49,4289.1,40,300
292,1.78,3862.6,40,300
293,2.14,3491.3,40,300
294,2.56,3167.5,40,300
295,3.06,2874.9,40,300
296,3.66,2614.4,40,300
297,4.39,2381.9,40,300
298,5.25,2184.7,40,300
299,6.29,1986.6,39.99,300
300,7.53,1825.6,39.99,300
301,9.02,1675.9,40,300
302,10.8,1549.7,40,300
303,12.9,1442.9,40,300
304,15.5,1332.6,40,300
305,18.5,1240.2,40,300
306,22.2,1157.3,40,300
307,26.6,1083.1,40,300
308,31.8,1019.1,40,300
309,38.1,961.65,40,300
310,45.6,956.64,40,300
311,54.6,871.61,39.99,300
312,65.3,838.92,40,300
313,78.2,821.22,40,300
314,93.7,820.71,40,300
315,112,853.05,40,300
316,134,988.57,40,300
317,161,2979.5,40,300
318,193,6692.4,40,300
319,230,10452,40,300
320,276,14025,40.01,300
321,330,15430,40.02,300
322,396,16262,40.03,300
323,474,16247,40.04,300
324,567,15566,40.06,300
325,679,14099,40.08,300
326,813,12941,40.1,300
327,1.40E+03,2814.9,40.15,300
328,1.67E+03,1144.2,40.07,300
329,2.00E+03,353.97,39.96,300
330,0.1,4829.1,19.98,500
331,0.12,4480.1,19.99,500
332,0.143,4153.1,19.99,500
333,0.172,3861,19.99,500
334,0.205,3609.8,19.98,500
335,0.246,3367,19.99,500
336,0.295,3154.1,19.99,500
337,0.353,2961.8,19.99,500
338,0.422,2793.1,19.99,500
339,0.506,2634.9,19.99,500
340,0.605,2491.3,19.99,500
341,0.725,2360.7,19.99,500
342,0.868,2241.8,20,500
343,1.04,2128.5,20,500
344,1.24,2039.8,20,500
345,1.49,1955.2,20,500
346,1.78,1876.9,20,500
347,2.14,1801.4,20,500
348,2.56,1732.5,20,500
349,3.06,1670.6,20,500
350,3.66,1613.7,20,500
351,4.39,1561.1,20,500
352,5.25,1513.5,20,500
353,6.29,1469.7,20,500
354,7.53,1432.3,20,500
355,9.02,1389.4,20,500
356,10.8,1367.2,20,500
357,12.9,1357.8,20,500
358,15.5,1367.1,20,500
359,18.5,1415.1,20,500
360,22.2,1559.9,20,500
361,26.6,2550.5,20,500
362,31.8,7597.4,20,500
363,38.1,13065,20,500
364,45.6,17994,20,500
365,54.6,22555,20,500
366,65.3,26388,20,500
367,78.2,30038,20,500
368,93.7,32651,20,500
369,112,34103,20.01,500
370,134,34129,20.01,500
371,161,32475,20.01,500
372,192,28741,20.02,500
373,230,28096,20.02,500
374,276,27215,20.04,500
375,330,25916,20.05,500
376,396,24457,20.07,500
377,474,22573,20.09,500
378,567,19880,20.12,500
379,679,14970,20.15,500
