Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.36914	3692.1	29.85	0.0016987	Dy_auto
2	0.12	0.41016	3426.6	29.85	0.0018875	Dy_auto
3	0.143	0.44698	3118.5	29.85	0.002057	Dy_auto
4	0.172	0.49843	2904.2	29.86	0.0022937	Dy_auto
5	0.205	0.54938	2673.5	29.86	0.0025282	Dy_auto
6	0.246	0.62493	2540.1	29.87	0.0028759	Dy_auto
7	0.295	0.71318	2421.1	29.87	0.003282	Dy_auto
8	0.353	0.74955	2125.2	29.87	0.0034494	Dy_auto
9	0.422	0.83614	1980.1	29.88	0.0038479	Dy_auto
10	0.506	0.94423	1867.6	29.88	0.0043453	Dy_auto
11	0.605	1.0466	1728.9	29.88	0.0048164	Dy_auto
12	0.725	1.187	1637.7	29.89	0.0054624	Dy_auto
13	0.868	1.3198	1520.9	29.89	0.0060736	Dy_auto
14	1.04	1.4904	1434.6	29.89	0.0068589	Dy_auto
15	1.24	1.6873	1356.4	29.90	0.007765	Dy_auto
16	1.49	1.9181	1287.9	29.90	0.0088271	Dy_auto
17	1.78	2.1991	1233.2	29.90	0.01012	Dy_auto
18	2.14	2.5299	1184.9	29.91	0.011642	Dy_auto
19	2.56	2.8674	1121.7	29.91	0.013196	Dy_auto
20	3.06	3.2629	1066.1	29.91	0.015016	Dy_auto
21	3.66	3.7511	1023.6	29.91	0.017262	Dy_auto
22	4.39	4.3342	987.87	29.92	0.019946	Dy_auto
23	5.25	4.9999	951.81	29.92	0.023009	Dy_auto
24	6.29	5.7635	916.39	29.92	0.026523	Dy_auto
25	7.53	6.6812	887.25	29.92	0.030747	Dy_auto
26	9.02	7.7646	861.21	29.93	0.035732	Dy_auto
27	10.8	9.1165	844.52	29.93	0.041953	Dy_auto
28	12.9	10.633	822.69	29.93	0.048932	Dy_auto
29	15.5	12.377	799.81	29.93	0.056956	Dy_auto
30	18.5	14.769	797.16	29.93	0.067967	Dy_auto
31	22.2	17.511	789.4	29.94	0.080585	Dy_auto
32	26.6	21.055	792.79	29.94	0.096896	Dy_auto
33	31.8	26.141	822.06	29.94	0.1203	Dy_auto
34	38.1	34.136	896.6	29.95	0.15709	Dy_auto
35	45.6	51.286	1125.1	29.95	0.23601	Dy_auto
36	54.6	126.11	2310.6	29.95	0.58035	Dy_auto
37	65.3	303	4636.7	29.95	1.3944	Dy_auto
38	78.2	556.98	7118.6	29.95	2.5632	Dy_auto
39	93.7	903.49	9644.5	29.96	4.1578	Dy_auto
40	112	1302.9	11617	29.96	5.9959	Dy_auto
41	134	1867.1	13903	29.96	8.5923	Dy_auto
42	161	2467.3	15346	29.97	11.354	Dy_auto
43	192	3194.5	16595	29.97	14.701	Dy_auto
44	230	3925.4	17032	29.98	18.065	Dy_auto
45	276	4717.7	17098	29.99	21.711	Dy_auto
46	330	5491.6	16624	29.99	25.272	Dy_auto
47	396	6224.2	15736	30.01	28.643	Dy_auto
48	474	4222.6	8912.2	30.02	19.432	Dy_auto
49	567	707.92	1249.2	30.03	3.2578	Dy_auto
50	679	831.56	1224.8	30.01	3.8268	Dy_auto
51	813	822.52	1011.9	30.00	3.7852	Dy_auto
52	973	860.48	884.14	29.99	3.9599	Dy_auto
53	1.17E+03	49.806	42.743	29.98	0.2292	Dy_auto
54	1.4E+03	62.907	45.091	29.98	0.2895	Dy_auto
55	1.67E+03	20.043	11.999	29.98	0.092238	Dy_auto
56	2E+03	12.585	6.2926	29.98	0.057917	Dy_auto
