Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.55241	5525.3	19.74	0.0025422	Dy_auto
2	0.12	0.60997	5095.6	19.76	0.0028071	Dy_auto
3	0.143	0.67499	4709.2	19.79	0.0031063	Dy_auto
4	0.172	0.74754	4355.8	19.82	0.0034401	Dy_auto
5	0.205	0.83056	4041.9	19.84	0.0038222	Dy_auto
6	0.246	0.92345	3753.4	19.86	0.0042497	Dy_auto
7	0.295	1.0287	3492.1	19.88	0.004734	Dy_auto
8	0.353	1.151	3263.3	19.89	0.0052966	Dy_auto
9	0.422	1.2889	3052.3	19.90	0.0059317	Dy_auto
10	0.506	1.4509	2869.6	19.91	0.0066768	Dy_auto
11	0.605	1.6327	2697.1	19.92	0.0075134	Dy_auto
12	0.725	1.8416	2541	19.93	0.008475	Dy_auto
13	0.868	2.0788	2395.6	19.94	0.0095667	Dy_auto
14	1.04	2.3601	2271.6	19.95	0.010861	Dy_auto
15	1.24	2.6875	2160.4	19.95	0.012368	Dy_auto
16	1.49	3.0717	2062.4	19.95	0.014136	Dy_auto
17	1.78	3.5287	1978.9	19.96	0.016239	Dy_auto
18	2.14	4.0466	1895.3	19.96	0.018622	Dy_auto
19	2.56	4.6445	1816.9	19.97	0.021374	Dy_auto
20	3.06	5.325	1739.8	19.97	0.024505	Dy_auto
21	3.66	6.141	1675.8	19.97	0.02826	Dy_auto
22	4.39	7.1165	1622	19.98	0.03275	Dy_auto
23	5.25	8.2306	1566.8	19.98	0.037877	Dy_auto
24	6.29	9.551	1518.6	19.98	0.043953	Dy_auto
25	7.53	11.122	1477	19.98	0.051183	Dy_auto
26	9.02	12.905	1431.4	19.99	0.059389	Dy_auto
27	10.8	15.179	1406.2	19.99	0.069855	Dy_auto
28	12.9	18.007	1393.2	19.99	0.082866	Dy_auto
29	15.5	21.749	1405.5	19.99	0.10009	Dy_auto
30	18.5	26.997	1457.1	19.99	0.12424	Dy_auto
31	22.2	35.808	1614.2	19.99	0.16478	Dy_auto
32	26.6	76.17	2867.8	19.99	0.35053	Dy_auto
33	31.8	287.5	9040.9	19.99	1.3231	Dy_auto
34	38.1	621.58	16325	19.99	2.8605	Dy_auto
35	45.6	1073.4	23548	19.99	4.9398	Dy_auto
36	54.6	1696.9	31092	19.99	7.8092	Dy_auto
37	65.3	2500.9	38272	19.99	11.509	Dy_auto
38	78.2	3341.3	42707	20.00	15.376	Dy_auto
39	93.7	3985.2	42547	20.00	18.34	Dy_auto
40	112	4720.4	42089	20.00	21.723	Dy_auto
41	134	5723.5	42625	20.00	26.339	Dy_auto
42	161	6812.4	42376	20.01	31.351	Dy_auto
43	192	7936.1	41230	20.01	36.522	Dy_auto
44	230	8871	38496	20.02	40.824	Dy_auto
45	276	9844.9	35682	20.03	45.306	Dy_auto
46	330	10560	31967	20.04	48.594	Dy_auto
47	396	11138	28160	20.06	51.255	Dy_auto
48	474	11554	24400	20.07	53.17	Dy_auto
49	567	12015	21196	20.09	55.294	Dy_auto
50	679	12574	18522	20.12	57.864	Dy_auto
51	812	13320	16396	20.15	61.297	Dy_auto
52	975	3457.3	3546.2	20.20	15.91	Dy_auto
53	1.17E+03	94.435	81.02	20.16	0.43458	Dy_auto
54	1.4E+03	39.89	28.592	20.03	0.18357	Dy_auto
55	1.67E+03	28	16.763	19.94	0.12886	Dy_auto
56	2E+03	12.162	6.0813	19.90	0.055971	Dy_auto
