Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	3.6467	36474	19.98	0.016782	Dy_auto
2	0.12	3.8528	32184	19.98	0.01773	Dy_auto
3	0.143	4.1004	28607	19.98	0.01887	Dy_auto
4	0.172	4.3573	25388	19.98	0.020052	Dy_auto
5	0.205	4.6553	22655	19.98	0.021423	Dy_auto
6	0.246	4.956	20144	19.98	0.022807	Dy_auto
7	0.295	5.3185	18054	19.99	0.024475	Dy_auto
8	0.353	5.7564	16321	19.99	0.02649	Dy_auto
9	0.422	6.1984	14678	19.99	0.028525	Dy_auto
10	0.506	7.2388	14317	19.99	0.033312	Dy_auto
11	0.605	7.1011	11731	19.99	0.032679	Dy_auto
12	0.725	7.681	10598	19.99	0.035347	Dy_auto
13	0.868	8.3628	9637.3	19.99	0.038485	Dy_auto
14	1.04	9.3535	9002.8	19.99	0.043044	Dy_auto
15	1.24	10.638	8551.6	19.99	0.048954	Dy_auto
16	1.49	12.064	8100.3	19.99	0.05552	Dy_auto
17	1.78	13.439	7536.2	19.99	0.061844	Dy_auto
18	2.14	15.047	7047.3	19.99	0.069243	Dy_auto
19	2.56	15.103	5908.1	19.99	0.069503	Dy_auto
20	3.06	17.569	5740.4	19.99	0.080851	Dy_auto
21	3.66	17.916	4889.1	19.99	0.082449	Dy_auto
22	4.39	19.338	4407.6	19.99	0.088991	Dy_auto
23	5.25	21.105	4017.7	20.00	0.097124	Dy_auto
24	6.29	23.641	3758.8	20.00	0.10879	Dy_auto
25	7.53	26.71	3546.9	20.00	0.12292	Dy_auto
26	9.02	29.689	3292.9	20.00	0.13663	Dy_auto
27	10.8	34.353	3182.4	20.00	0.15809	Dy_auto
28	12.9	37.591	2908.5	20.00	0.17299	Dy_auto
29	15.5	43.173	2790	20.00	0.19868	Dy_auto
30	18.5	50.273	2713.4	19.99	0.23135	Dy_auto
31	22.2	56.965	2568	19.99	0.26215	Dy_auto
32	26.6	67.041	2524.2	19.99	0.30852	Dy_auto
33	31.8	79.941	2514	20.00	0.36788	Dy_auto
34	38.1	345.11	9056.1	20.00	1.5882	Dy_auto
35	45.6	545.95	11970	20.00	2.5124	Dy_auto
36	54.6	1606.8	29431	20.00	7.3942	Dy_auto
37	65.4	3161	48368	20.00	14.547	Dy_auto
38	78.2	4354.8	55662	20.00	20.041	Dy_auto
39	93.7	6542.3	69850	20.00	30.107	Dy_auto
40	112	9086.9	81022	20.01	41.817	Dy_auto
41	134	10921	81349	20.02	50.258	Dy_auto
42	161	13132	81687	20.03	60.433	Dy_auto
43	192	15445	80250	20.04	71.076	Dy_auto
44	230	17653	76605	20.05	81.238	Dy_auto
45	276	19562	70906	20.07	90.021	Dy_auto
46	330	20784	62920	20.10	95.647	Dy_auto
47	395	16124	40782	20.13	74.202	Dy_auto
48	474	13694	28909	20.15	63.02	Dy_auto
49	567	13888	24493	20.16	63.913	Dy_auto
50	679	11511	16955	20.16	52.975	Dy_auto
51	812	12464	15343	20.16	57.36	Dy_auto
52	973	9136.7	9386.4	20.17	42.046	Dy_auto
53	1.16E+03	7844.3	6733.9	20.17	36.099	Dy_auto
54	1.4E+03	6479.5	4643.9	20.16	29.818	Dy_auto
55	1.67E+03	4892.6	2927.9	20.16	22.516	Dy_auto
56	2E+03	2204.6	1102	20.14	10.145	Dy_auto
