Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	2.1418	21421	40.00	0.0098563	Dy_auto
2	0.12	2.2693	18957	40.00	0.010443	Dy_auto
3	0.143	2.4038	16771	40.00	0.011062	Dy_auto
4	0.172	2.5456	14832	40.00	0.011715	Dy_auto
5	0.205	2.7046	13162	40.01	0.012447	Dy_auto
6	0.246	2.8707	11668	40.00	0.013211	Dy_auto
7	0.295	3.0582	10382	40.00	0.014073	Dy_auto
8	0.353	3.2628	9250.9	40.00	0.015015	Dy_auto
9	0.422	3.4802	8241.5	40.00	0.016016	Dy_auto
10	0.506	3.7128	7343.5	40.00	0.017086	Dy_auto
11	0.605	3.9708	6559.7	40.00	0.018273	Dy_auto
12	0.725	4.2609	5878.9	40.00	0.019608	Dy_auto
13	0.868	4.5982	5299	40.00	0.021161	Dy_auto
14	1.04	4.9516	4765.9	40.00	0.022787	Dy_auto
15	1.24	5.358	4307.3	40.00	0.024657	Dy_auto
16	1.49	5.7986	3893.3	40.00	0.026685	Dy_auto
17	1.78	6.3247	3546.8	40.00	0.029106	Dy_auto
18	2.14	6.8719	3218.6	40.00	0.031624	Dy_auto
19	2.56	7.5534	2954.9	40.00	0.03476	Dy_auto
20	3.06	8.1651	2667.8	40.00	0.037575	Dy_auto
21	3.66	8.9643	2446.3	40.00	0.041253	Dy_auto
22	4.39	9.8596	2247.3	40.00	0.045373	Dy_auto
23	5.25	10.9	2075	40.00	0.05016	Dy_auto
24	6.29	11.971	1903.4	40.00	0.055092	Dy_auto
25	7.53	13.13	1743.7	40.00	0.060425	Dy_auto
26	9.02	14.73	1633.7	40.00	0.067785	Dy_auto
27	10.8	16.208	1501.5	40.00	0.074591	Dy_auto
28	12.9	18.104	1400.8	40.00	0.083314	Dy_auto
29	15.5	20.19	1304.7	40.00	0.092912	Dy_auto
30	18.5	22.662	1223.2	40.00	0.10429	Dy_auto
31	22.2	25.552	1151.9	40.00	0.11759	Dy_auto
32	26.6	28.638	1078.3	40.00	0.13179	Dy_auto
33	31.8	32.337	1016.9	40.00	0.14881	Dy_auto
34	38.1	36.785	966.19	40.00	0.16928	Dy_auto
35	45.6	42.142	924.49	40.00	0.19394	Dy_auto
36	54.6	48.618	890.79	40.00	0.22374	Dy_auto
37	65.3	56.815	869.46	40.00	0.26146	Dy_auto
38	78.2	67.014	856.54	40.00	0.30839	Dy_auto
39	93.7	81.416	869.15	40.00	0.37467	Dy_auto
40	112	105.23	938.22	40.00	0.48425	Dy_auto
41	134	255.68	1904	40.01	1.1766	Dy_auto
42	161	866.34	5387.8	40.01	3.9869	Dy_auto
43	193	1986	10315	40.01	9.1392	Dy_auto
44	231	3455.1	14989	40.01	15.9	Dy_auto
45	276	5072.8	18382	40.01	23.345	Dy_auto
46	330	6201.1	18771	40.02	28.537	Dy_auto
47	395	7448.4	18833	40.03	34.277	Dy_auto
48	473	8684.5	18341	40.05	39.965	Dy_auto
49	567	9796.4	17282	40.06	45.082	Dy_auto
50	679	10785	15890	40.07	49.632	Dy_auto
51	813	11104	13662	40.09	51.099	Dy_auto
52	973	9277.8	9533.8	40.11	42.696	Dy_auto
53	1.17E+03	5077.4	4354.1	40.12	23.366	Dy_auto
54	1.4E+03	3126.5	2240.5	40.09	14.388	Dy_auto
55	1.67E+03	1471	880.37	40.02	6.7693	Dy_auto
56	2E+03	28.358	14.179	39.95	0.1305	Dy_auto
