Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	0.28695	2870.1	39.97	0.0013205	Dy_auto
2	0.12	0.31527	2633.7	39.97	0.0014508	Dy_auto
3	0.143	0.34277	2391.5	39.96	0.0015774	Dy_auto
4	0.172	0.37783	2201.6	39.96	0.0017388	Dy_auto
5	0.205	0.4152	2020.5	39.96	0.0019107	Dy_auto
6	0.246	0.4563	1854.6	39.96	0.0020999	Dy_auto
7	0.295	0.50381	1710.3	39.97	0.0023185	Dy_auto
8	0.353	0.55823	1582.8	39.97	0.0025689	Dy_auto
9	0.422	0.61864	1465	39.96	0.0028469	Dy_auto
10	0.506	0.68757	1359.9	39.96	0.0031642	Dy_auto
11	0.605	0.76534	1264.3	39.96	0.0035221	Dy_auto
12	0.725	0.85457	1179.1	39.96	0.0039327	Dy_auto
13	0.868	0.95949	1105.7	39.97	0.0044155	Dy_auto
14	1.04	1.0762	1035.8	39.97	0.0049525	Dy_auto
15	1.24	1.2137	975.67	39.97	0.0055853	Dy_auto
16	1.49	1.3747	922.98	39.97	0.0063262	Dy_auto
17	1.78	1.5627	876.32	39.97	0.0071913	Dy_auto
18	2.14	1.7825	834.87	39.97	0.0082029	Dy_auto
19	2.56	2.0292	793.82	39.97	0.0093384	Dy_auto
20	3.06	2.3041	752.83	39.97	0.010603	Dy_auto
21	3.66	2.636	719.36	39.97	0.012131	Dy_auto
22	4.39	3.0324	691.15	39.97	0.013955	Dy_auto
23	5.25	3.4735	661.24	39.97	0.015985	Dy_auto
24	6.29	3.9982	635.7	39.97	0.018399	Dy_auto
25	7.53	4.6173	613.16	39.97	0.021248	Dy_auto
26	9.02	5.3382	592.08	39.97	0.024566	Dy_auto
27	10.8	6.1711	571.68	39.97	0.028399	Dy_auto
28	12.9	7.15	553.22	39.97	0.032904	Dy_auto
29	15.5	8.3174	537.49	39.97	0.038276	Dy_auto
30	18.5	9.7058	523.87	39.97	0.044666	Dy_auto
31	22.2	11.307	509.72	39.98	0.052034	Dy_auto
32	26.6	13.303	500.89	39.98	0.06122	Dy_auto
33	31.8	15.808	497.12	39.97	0.072747	Dy_auto
34	38.1	19.002	499.09	39.97	0.087445	Dy_auto
35	45.6	23.349	512.21	39.97	0.10745	Dy_auto
36	54.6	29.73	544.72	39.97	0.13681	Dy_auto
37	65.3	41.208	630.61	39.97	0.18964	Dy_auto
38	78.2	73.107	934.4	39.97	0.33643	Dy_auto
39	93.7	168.7	1800.8	39.97	0.77634	Dy_auto
40	112	332.96	2968.5	39.97	1.5322	Dy_auto
41	134	527.46	3928	39.97	2.4273	Dy_auto
42	161	790.61	4917.5	39.97	3.6383	Dy_auto
43	193	1046.9	5438.3	39.97	4.8178	Dy_auto
44	231	1238.1	5370.9	39.97	5.6975	Dy_auto
45	276	1877.8	6805.1	39.97	8.6414	Dy_auto
46	330	2821.6	8539.5	39.98	12.985	Dy_auto
47	396	3693.5	9336.2	39.98	16.997	Dy_auto
48	474	4559	9625	39.99	20.98	Dy_auto
49	567	1191.3	2101.3	40.00	5.4821	Dy_auto
50	679	592.75	873.35	39.99	2.7278	Dy_auto
51	813	748.72	921.23	39.98	3.4455	Dy_auto
52	973	771.71	793	39.98	3.5513	Dy_auto
53	1.17E+03	729.43	625.99	39.97	3.3568	Dy_auto
54	1.4E+03	53.421	38.291	39.97	0.24584	Dy_auto
55	1.67E+03	24.743	14.812	39.97	0.11387	Dy_auto
56	2E+03	8.3857	4.1928	39.97	0.03859	Dy_auto
