Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	11.451	1.1452E+05	25.01	0.052695	Dy_auto
2	0.12	12.501	1.0442E+05	25.01	0.057529	Dy_auto
3	0.143	13.268	92565	25.01	0.06106	Dy_auto
4	0.172	13.86	80758	25.00	0.063782	Dy_auto
5	0.205	14.793	71987	25.00	0.068075	Dy_auto
6	0.246	14.897	60547	25.00	0.068555	Dy_auto
7	0.295	15.181	51536	25.00	0.069862	Dy_auto
8	0.353	15.738	44622	25.00	0.072424	Dy_auto
9	0.422	16.553	39200	25.00	0.076174	Dy_auto
10	0.506	17.239	34097	25.00	0.079331	Dy_auto
11	0.605	17.803	29411	25.00	0.081927	Dy_auto
12	0.725	18.911	26093	25.00	0.087029	Dy_auto
13	0.868	21.175	24403	25.00	0.097447	Dy_auto
14	1.04	21.72	20907	25.00	0.099955	Dy_auto
15	1.24	22.574	18146	25.00	0.10388	Dy_auto
16	1.49	24.29	16309	25.00	0.11178	Dy_auto
17	1.78	25.723	14425	25.00	0.11837	Dy_auto
18	2.14	27.275	12775	25.00	0.12552	Dy_auto
19	2.56	31.52	12330	25.00	0.14505	Dy_auto
20	3.06	31.365	10248	25.00	0.14434	Dy_auto
21	3.66	36.895	10069	25.00	0.16979	Dy_auto
22	4.38	50.283	11491	25.00	0.2314	Dy_auto
23	5.25	39.431	7506.6	25.00	0.18146	Dy_auto
24	6.29	42.902	6821.4	25.00	0.19743	Dy_auto
25	7.53	46.908	6229.3	25.00	0.21587	Dy_auto
26	8.89	155	17444	25.00	0.71329	Dy_auto
27	10.8	56.359	5221.1	25.00	0.25936	Dy_auto
28	12.9	98.073	7595.9	25.00	0.45133	Dy_auto
29	15.5	72.26	4669.7	25.00	0.33254	Dy_auto
30	18.5	79.154	4272.7	25.00	0.36426	Dy_auto
31	22.2	88.061	3969.9	25.00	0.40525	Dy_auto
32	26.6	104.77	3944.1	25.00	0.48214	Dy_auto
33	31.8	129.45	4070.4	25.00	0.59572	Dy_auto
34	38.1	151.34	3974.5	25.00	0.69645	Dy_auto
35	45.6	249.82	5482.2	25.00	1.1497	Dy_auto
36	54.6	307.57	5635.3	25.00	1.4154	Dy_auto
37	65.4	303.98	4651.3	25.00	1.3989	Dy_auto
38	78.2	330.66	4225.9	25.00	1.5217	Dy_auto
39	93.7	330.92	3532.8	25.00	1.5229	Dy_auto
40	112	368.74	3286.8	25.00	1.6969	Dy_auto
41	134	413.43	3078.9	25.00	1.9026	Dy_auto
42	161	467.94	2910.7	25.00	2.1534	Dy_auto
43	192	595.41	3093.1	25.00	2.74	Dy_auto
44	230	896.11	3888.4	25.00	4.1238	Dy_auto
45	276	2467.6	8941.6	25.01	11.356	Dy_auto
46	330	5323.3	16112	25.02	24.498	Dy_auto
47	396	8127.7	20546	25.05	37.403	Dy_auto
48	474	10123	21375	25.08	46.587	Dy_auto
49	567	11917	21017	25.13	54.84	Dy_auto
50	679	13197	19439	25.18	60.733	Dy_auto
51	813	14129	17384	25.24	65.022	Dy_auto
52	973	11537	11852	25.30	53.095	Dy_auto
53	1.17E+03	12216	10484	25.34	56.217	Dy_auto
54	1.4E+03	12714	9113.3	25.39	58.51	Dy_auto
55	1.67E+03	12045	7210.7	25.44	55.43	Dy_auto
56	2E+03	11586	5792.4	25.50	53.318	Dy_auto
