Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	15.544	1.5544E+05	34.97	0.071532	Dy_auto
2	0.12	15.731	1.3139E+05	34.98	0.072391	Dy_auto
3	0.143	15.941	1.1121E+05	34.99	0.073361	Dy_auto
4	0.172	16.142	94053	35.00	0.074285	Dy_auto
5	0.205	16.539	80487	35.00	0.076111	Dy_auto
6	0.246	16.622	67557	35.00	0.076491	Dy_auto
7	0.295	16.908	57399	35.01	0.077809	Dy_auto
8	0.353	17.729	50269	35.01	0.081589	Dy_auto
9	0.422	18.329	43405	35.01	0.084348	Dy_auto
10	0.506	19.206	37987	35.01	0.088383	Dy_auto
11	0.605	19.63	32430	35.01	0.090334	Dy_auto
12	0.725	20.843	28759	35.01	0.095917	Dy_auto
13	0.868	21.883	25217	35.01	0.1007	Dy_auto
14	1.04	23.009	22147	35.01	0.10589	Dy_auto
15	1.24	24.507	19702	35.02	0.11278	Dy_auto
16	1.49	26.051	17491	35.02	0.11989	Dy_auto
17	1.78	27.98	15691	35.02	0.12876	Dy_auto
18	2.14	29.066	13614	35.02	0.13376	Dy_auto
19	2.56	30.256	11836	35.02	0.13924	Dy_auto
20	3.06	32.116	10493	35.02	0.1478	Dy_auto
21	3.66	34.427	9394.9	35.01	0.15843	Dy_auto
22	4.39	37.563	8561.9	35.01	0.17286	Dy_auto
23	5.25	40.046	7623.4	35.01	0.18429	Dy_auto
24	6.29	42.934	6826.6	35.01	0.19758	Dy_auto
25	7.53	46.543	6180	35.01	0.21419	Dy_auto
26	9.02	51.329	5693.3	35.01	0.23621	Dy_auto
27	10.8	58.775	5445.1	35.01	0.27048	Dy_auto
28	12.9	61.594	4765.8	35.01	0.28345	Dy_auto
29	15.5	66	4265	35.01	0.30373	Dy_auto
30	18.5	71.634	3866.4	35.01	0.32966	Dy_auto
31	22.2	80.099	3610.9	35.01	0.36861	Dy_auto
32	26.6	88.319	3325.4	35.01	0.40644	Dy_auto
33	31.8	97.755	3074.1	35.01	0.44986	Dy_auto
34	38.1	111.08	2917.6	35.01	0.5112	Dy_auto
35	45.6	123.58	2711.2	35.01	0.56873	Dy_auto
36	54.6	155.41	2847.6	35.01	0.71519	Dy_auto
37	65.3	195.37	2990	35.01	0.89909	Dy_auto
38	78.2	191.65	2449.6	35.01	0.88195	Dy_auto
39	93.7	228.99	2444.8	35.01	1.0538	Dy_auto
40	112	269.26	2400.8	35.01	1.2391	Dy_auto
41	134	306.03	2279.2	35.01	1.4083	Dy_auto
42	161	316.84	1970.7	35.01	1.4581	Dy_auto
43	192	409.13	2125.4	35.01	1.8828	Dy_auto
44	230	438.6	1903.1	35.01	2.0184	Dy_auto
45	276	533.38	1933	35.01	2.4546	Dy_auto
46	330	915.82	2772.1	35.01	4.2145	Dy_auto
47	396	1693.3	4280.5	35.01	7.7925	Dy_auto
48	474	3908.9	8252	35.02	17.989	Dy_auto
49	567	5809.5	10244	35.04	26.735	Dy_auto
50	679	7063.4	10403	35.07	32.505	Dy_auto
51	813	7837.9	9640.3	35.12	36.07	Dy_auto
52	973	5022.1	5159.1	35.17	23.112	Dy_auto
53	1.16E+03	4779.5	4105.4	35.20	21.995	Dy_auto
54	1.4E+03	4133.5	2961	35.17	19.022	Dy_auto
55	1.67E+03	3332	1994.3	35.15	15.333	Dy_auto
56	2E+03	4146.7	2073.4	35.13	19.083	Dy_auto
