Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	24.476	2.4478E+05	19.36	0.11264	Dy_auto
2	0.12	25.788	2.154E+05	19.41	0.11867	Dy_auto
3	0.143	26.782	1.8685E+05	19.47	0.12325	Dy_auto
4	0.172	27.725	1.6154E+05	19.51	0.12759	Dy_auto
5	0.205	28.634	1.3935E+05	19.55	0.13177	Dy_auto
6	0.246	30.076	1.2225E+05	19.59	0.13841	Dy_auto
7	0.295	31.55	1.071E+05	19.62	0.14519	Dy_auto
8	0.353	32.541	92263	19.66	0.14975	Dy_auto
9	0.422	34.311	81254	19.69	0.1579	Dy_auto
10	0.506	35.945	71096	19.71	0.16542	Dy_auto
11	0.605	37.595	62107	19.73	0.17301	Dy_auto
12	0.725	39.052	53884	19.74	0.17971	Dy_auto
13	0.868	41.285	47577	19.76	0.18999	Dy_auto
14	1.04	44.159	42502	19.77	0.20322	Dy_auto
15	1.24	47.554	38230	19.79	0.21884	Dy_auto
16	1.49	49.344	33131	19.80	0.22708	Dy_auto
17	1.78	51.67	28975	19.81	0.23778	Dy_auto
18	2.13	55.422	25960	19.82	0.25505	Dy_auto
19	2.56	59.742	23372	19.82	0.27493	Dy_auto
20	3.06	64.662	21127	19.83	0.29757	Dy_auto
21	3.66	70.933	19358	19.84	0.32643	Dy_auto
22	4.39	74.347	16946	19.85	0.34214	Dy_auto
23	5.25	83.901	15971	19.85	0.38611	Dy_auto
24	6.29	143.19	22772	19.86	0.65894	Dy_auto
25	7.53	123.89	16453	19.87	0.57014	Dy_auto
26	9.02	130.21	14442	19.87	0.5992	Dy_auto
27	10.8	115.38	10689	19.87	0.53096	Dy_auto
28	12.9	128.89	9971.1	19.88	0.59313	Dy_auto
29	15.5	151.31	9777.9	19.88	0.6963	Dy_auto
30	18.5	162.44	8767.6	19.88	0.74752	Dy_auto
31	22.2	227.8	10268	19.88	1.0483	Dy_auto
32	26.6	248.59	9357.3	19.88	1.144	Dy_auto
33	31.8	245.59	7720.6	19.88	1.1302	Dy_auto
34	38.1	240.5	6316.7	19.88	1.1068	Dy_auto
35	45.6	301.55	6613.4	19.89	1.3877	Dy_auto
36	54.6	270.03	4947.7	19.89	1.2427	Dy_auto
37	65.4	364.78	5581.5	19.89	1.6787	Dy_auto
38	78.2	346.1	4423.8	19.89	1.5927	Dy_auto
39	93.7	445.81	4759.4	19.89	2.0516	Dy_auto
40	112	613.23	5468.1	19.89	2.8221	Dy_auto
41	134	1765.5	13147	19.90	8.1249	Dy_auto
42	161	4183.1	26013	19.90	19.251	Dy_auto
43	193	6658.1	34580	19.92	30.64	Dy_auto
44	230	8299	36016	19.94	38.191	Dy_auto
45	276	9632	34913	19.96	44.326	Dy_auto
46	330	10974	33220	19.98	50.5	Dy_auto
47	396	12108	30612	20.01	55.722	Dy_auto
48	474	13018	27490	20.04	59.907	Dy_auto
49	567	13886	24493	20.07	63.904	Dy_auto
50	679	14642	21572	20.12	67.384	Dy_auto
51	813	15335	18869	20.17	70.573	Dy_auto
52	973	15663	16096	20.23	72.079	Dy_auto
53	1.17E+03	14687	12604	20.29	67.59	Dy_auto
54	1.4E+03	9597.3	6875.3	20.36	44.166	Dy_auto
55	1.67E+03	5128.1	3068.7	20.37	23.599	Dy_auto
56	2E+03	4562.8	2276.9	20.29	20.998	Dy_auto
