Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	16.54	1.6541E+05	39.91	0.076118	Dy_auto
2	0.12	17.368	1.4507E+05	39.92	0.079925	Dy_auto
3	0.143	18.13	1.2648E+05	39.93	0.083432	Dy_auto
4	0.172	18.352	1.0693E+05	39.93	0.084453	Dy_auto
5	0.205	18.62	90612	39.93	0.085689	Dy_auto
6	0.246	19.151	77841	39.93	0.088132	Dy_auto
7	0.295	19.768	67106	39.94	0.09097	Dy_auto
8	0.353	20.569	58320	39.94	0.094657	Dy_auto
9	0.422	21.782	51581	39.94	0.10024	Dy_auto
10	0.506	22.463	44431	39.93	0.10338	Dy_auto
11	0.605	23.403	38660	39.94	0.1077	Dy_auto
12	0.725	24.275	33493	39.94	0.11171	Dy_auto
13	0.868	25.564	29460	39.95	0.11764	Dy_auto
14	1.04	26.581	25583	39.95	0.12233	Dy_auto
15	1.24	28.469	22886	39.95	0.13101	Dy_auto
16	1.49	29.512	19815	39.95	0.13581	Dy_auto
17	1.78	31.35	17581	39.95	0.14427	Dy_auto
18	2.14	32.781	15354	39.95	0.15085	Dy_auto
19	2.56	35.305	13811	39.94	0.16247	Dy_auto
20	3.06	36.819	12030	39.95	0.16944	Dy_auto
21	3.66	38.932	10625	39.95	0.17916	Dy_auto
22	4.39	42.188	9615.6	39.95	0.19415	Dy_auto
23	5.25	45.154	8596	39.95	0.2078	Dy_auto
24	6.29	48.601	7727.2	39.95	0.22366	Dy_auto
25	7.53	52.239	6937	39.95	0.2404	Dy_auto
26	9.02	56.432	6259	39.95	0.2597	Dy_auto
27	10.8	61.234	5672.8	39.95	0.28179	Dy_auto
28	12.9	67.538	5225.6	39.94	0.3108	Dy_auto
29	15.5	75.375	4871.1	39.94	0.34687	Dy_auto
30	18.5	93.007	5019.9	39.94	0.42801	Dy_auto
31	22.2	130.97	5905.7	39.94	0.60272	Dy_auto
32	26.6	149.78	5638.6	39.94	0.68927	Dy_auto
33	31.8	150.51	4733.6	39.94	0.69265	Dy_auto
34	38.1	147.25	3867.6	39.94	0.67763	Dy_auto
35	45.6	179.81	3946.1	39.94	0.82748	Dy_auto
36	54.6	205.45	3765	39.94	0.94545	Dy_auto
37	65.3	247.62	3789.5	39.94	1.1395	Dy_auto
38	78.2	260.69	3332.5	39.95	1.1997	Dy_auto
39	93.7	248.2	2649.8	39.95	1.1422	Dy_auto
40	112	311.19	2775.3	39.96	1.4321	Dy_auto
41	134	332.13	2473.1	39.96	1.5284	Dy_auto
42	161	384.47	2391.4	39.96	1.7693	Dy_auto
43	192	478.01	2483.6	39.95	2.1998	Dy_auto
44	230	573.56	2489.1	39.95	2.6395	Dy_auto
45	276	1066.9	3866.1	39.95	4.9097	Dy_auto
46	330	2206.7	6678.2	39.95	10.155	Dy_auto
47	396	3829.7	9678.1	39.97	17.624	Dy_auto
48	474	5336	11263	39.99	24.556	Dy_auto
49	567	6016.1	10613	40.01	27.686	Dy_auto
50	679	6226.2	9171	40.03	28.653	Dy_auto
51	813	7022.6	8638.5	40.05	32.318	Dy_auto
52	973	7351.7	7553.7	40.06	33.832	Dy_auto
53	1.17E+03	4805.5	4121.6	40.08	22.115	Dy_auto
54	1.4E+03	4111.5	2942.3	40.08	18.921	Dy_auto
55	1.67E+03	8824.7	5282	40.02	40.611	Dy_auto
56	2E+03	10179	5087.8	40.03	46.845	Dy_auto
