Shear Rate,Viscosity,Particle Size,Temperature,Temperature-(T')
193,6727.7,100,30,30.01
231,12905,100,30,30.01
276,17295,100,30,30.02
330,17686,100,30,30.04
396,17824,100,30,30.06
474,17182,100,30,30.09
567,16015,100,30,30.12
679,14580,100,30,30.16
813,12928,100,30,30.2
973,10918,100,30,30.25
1.17E+03,6213.3,100,30,30.31
1.40E+03,1847.2,100,30,30.34
1.67E+03,834.11,100,30,30.28
2.00E+03,728.13,100,30,30.18
0.1,30374,300,30,29.94
0.12,26707,300,30,29.95
0.143,23553,300,30,29.95
0.172,20766,300,30,29.95
0.205,18329,300,30,29.96
0.246,16199,300,30,29.96
0.295,14368,300,30,29.96
0.353,12759,300,30,29.96
0.422,11352,300,30,29.97
0.506,10114,300,30,29.97
0.605,9032.7,300,30,29.97
0.725,8094.9,300,30,29.98
0.868,7258.6,300,30,29.98
1.04,6527.6,300,30,29.98
1.24,5880.2,300,30,29.98
1.49,5318.7,300,30,29.99
1.78,4805,300,30,29.99
2.14,4361.7,300,30,29.98
2.56,3969.1,300,30,29.98
3.06,3612.4,300,30,29.99
3.66,3310.5,300,30,29.99
4.39,2995.6,300,30,29.99
5.25,2750.2,300,30,29.99
6.29,2534.3,300,30,29.99
7.53,2341.8,300,30,29.99
9.02,2157.6,300,30,29.99
10.8,2001.9,300,30,29.99
12.9,1864.2,300,30,29.99
15.5,1735.1,300,30,29.99
18.5,1624.7,300,30,29.99
22.2,1522.7,300,30,29.99
26.6,1437.9,300,30,29.99
31.8,1360,300,30,29.99
38.1,1302.2,300,30,29.99
45.6,1258.6,300,30,29.99
54.6,1230.2,300,30,30
65.3,1229.7,300,30,30
78.2,1292.6,300,30,30
93.7,1580.5,300,30,30
112,9866.3,300,30,30
134,17470,300,30,30
161,23928,300,30,30.01
192,28084,300,30,30.01
230,30205,300,30,30.02
276,31684,300,30,30.04
330,31823,300,30,30.06
395,29867,300,30,30.09
473,26821,300,30,30.12
567,23150,300,30,30.16
679,18192,300,30,30.21
814,1635.3,300,30,30.23
973,1357.5,300,30,30.17
1.17E+03,1165.9,300,30,30.1
1.40E+03,910.69,300,30,30.05
1.67E+03,16.247,300,30,30.02
2.00E+03,10.013,300,30,29.99
0.1,3550.8,500,30,30
0.12,3288.2,500,30,30
0.143,3004.3,500,30,30
0.172,2771.5,500,30,30
0.205,2577.8,500,30,30
0.246,2394,500,30,30
0.295,2230.5,500,30,30
0.353,2080.6,500,30,30
0.422,1943,500,30,30
0.506,1822.4,500,30,29.99
0.605,1716.6,500,30,29.99
0.725,1617.2,500,30,29.99
0.868,1530.5,500,30,29.99
1.04,1447.2,500,30,29.99
1.24,1375.1,500,30,29.99
1.49,1309.9,500,30,30
1.78,1247.7,500,30,30
2.14,1194.5,500,30,30
2.56,1145.1,500,30,30
3.06,1099.9,500,30,30
3.66,1057,500,30,30
4.39,1017.8,500,30,30
5.25,980.99,500,30,30
6.29,950.56,500,30,30
7.53,921.31,500,30,30
9.02,892.33,500,30,30
10.8,870.39,500,30,30
12.9,847.23,500,30,30
15.5,825.38,500,30,30
18.5,811.91,500,30,30
22.2,807.43,500,30,30
26.6,815.56,500,30,30
31.8,846.96,500,30,30
38.1,931.7,500,30,30
45.6,1253.1,500,30,30
54.6,2671.7,500,30,30
65.4,4907.3,500,30,30
78.2,7071.9,500,30,30
93.7,9142.9,500,30,30
112,11081,500,30,30
134,12873,500,30,30
161,14390,500,30,30
192,15104,500,30,30.01
230,15035,500,30,30.01
276,15411,500,30,30.01
330,15393,500,30,30.02
395,15193,500,30,30.03
474,14672,500,30,30.04
567,14218,500,30,30.05
679,13235,500,30,30.07
812,12255,500,30,30.1
973,10955,500,30,30.13
1.16E+03,8934.7,500,30,30.17
1.40E+03,2227.4,500,30,30.21
1.67E+03,315.39,500,30,30.19
2.00E+03,392.37,500,30,30.12
0.1,1.89E+05,100,40,40
0.12,1.63E+05,100,40,40
0.143,1.39E+05,100,40,40
0.172,1.18E+05,100,40,40
0.205,1.01E+05,100,40,40
0.246,88451,100,40,40
0.295,76513,100,40,40
0.353,65694,100,40,40.01
0.422,57012,100,40,40.01
0.506,48595,100,40,40
0.605,42860,100,40,40
0.725,36898,100,40,40
0.868,31757,100,40,40
1.04,27915,100,40,40
1.24,24380,100,40,40
1.49,21479,100,40,39.99
1.78,18890,100,40,40
2.14,16542,100,40,40
2.56,14589,100,40,40
3.06,12940,100,40,40
3.66,11499,100,40,40
4.39,10192,100,40,40
5.25,9082.7,100,40,40
6.29,8203,100,40,40
7.53,7256.3,100,40,40
9.02,6545.9,100,40,40.01
10.8,6251.3,100,40,40
12.9,5436,100,40,40
15.5,4871.6,100,40,40
18.5,4465.2,100,40,40
22.2,4125.4,100,40,40
26.6,3787,100,40,40
31.8,3561.9,100,40,40
38,7853.6,100,40,40
45.6,3330.4,100,40,39.99
54.6,3864.7,100,40,40
65.3,3281.8,100,40,40
78.2,3084.5,100,40,40
93.7,2754.2,100,40,40
112,2651.8,100,40,40
134,2508.1,100,40,40
161,2472.9,100,40,40
192,2456.8,100,40,40
230,2694.3,100,40,40
276,4378.6,100,40,40
330,8490.9,100,40,40.01
396,11714,100,40,40.02
474,12130,100,40,40.04
567,11643,100,40,40.06
679,11079,100,40,40.08
813,10300,100,40,40.1
973,9253.6,100,40,40.12
1.17E+03,7599.9,100,40,40.14
1.40E+03,2560.1,100,40,40.16
1.67E+03,637.47,100,40,40.12
2.00E+03,749.63,100,40,39.99
0.1,25296,300,40,40
0.12,22270,300,40,40.01
0.143,19632,300,40,40.01
0.172,17289,300,40,40
0.205,15251,300,40,40
0.246,13476,300,40,40.01
0.295,11947,300,40,40.01
0.353,10621,300,40,40.01
0.422,9381,300,40,40
0.506,8334.6,300,40,40.01
0.605,7429.8,300,40,40.01
0.725,6638.2,300,40,40.01
0.868,5928.8,300,40,40
1.04,5318.6,300,40,40
1.24,4766.5,300,40,40
1.49,4289.1,300,40,40
1.78,3862.6,300,40,40
2.14,3491.3,300,40,40
2.56,3167.5,300,40,40
3.06,2874.9,300,40,40
3.66,2614.4,300,40,40
4.39,2381.9,300,40,40
5.25,2184.7,300,40,40
6.29,1986.6,300,40,39.99
7.53,1825.6,300,40,39.99
9.02,1675.9,300,40,40
10.8,1549.7,300,40,40
12.9,1442.9,300,40,40
15.5,1332.6,300,40,40
18.5,1240.2,300,40,40
22.2,1157.3,300,40,40
26.6,1083.1,300,40,40
31.8,1019.1,300,40,40
38.1,961.65,300,40,40
45.6,956.64,300,40,40
54.6,871.61,300,40,39.99
65.3,838.92,300,40,40
78.2,821.22,300,40,40
93.7,820.71,300,40,40
112,853.05,300,40,40
134,988.57,300,40,40
161,2979.5,300,40,40
193,6692.4,300,40,40
230,10452,300,40,40
276,14025,300,40,40.01
330,15430,300,40,40.02
396,16262,300,40,40.03
474,16247,300,40,40.04
567,15566,300,40,40.06
679,14099,300,40,40.08
813,12941,300,40,40.1
973,11081,300,40,40.13
1.17E+03,5870.2,300,40,40.15
1.40E+03,2814.9,300,40,40.15
1.67E+03,1144.2,300,40,40.07
2.00E+03,353.97,300,40,39.96
0.1,2704.4,500,40,40
0.12,2478.1,500,40,40
0.143,2280,500,40,40
0.172,2098.4,500,40,40
0.205,1944.4,500,40,40
0.246,1795.8,500,40,40
0.295,1670.6,500,40,40
0.353,1556.7,500,40,40
0.422,1455.4,500,40,40
0.506,1362.3,500,40,40
0.605,1276.3,500,40,40
0.725,1201.5,500,40,40
0.868,1132.4,500,40,40
1.04,1073.7,500,40,40
1.24,1013.8,500,40,40
1.49,964.8,500,40,40
1.78,917.09,500,40,40
2.14,872.7,500,40,40
2.56,830.56,500,40,40
3.06,793.3,500,40,40
3.66,755.74,500,40,40
4.39,727.88,500,40,40
5.25,701.91,500,40,40
6.29,676.29,500,40,40
7.53,649.79,500,40,40
9.02,631.28,500,40,40
10.8,611.48,500,40,40
12.9,593.74,500,40,40
15.5,576.78,500,40,40
18.5,564.61,500,40,40
22.2,547.6,500,40,40
26.6,539.45,500,40,40.01
31.8,536.28,500,40,40.01
38.1,539.92,500,40,40
45.6,557.42,500,40,40
54.6,601.63,500,40,40
65.3,734.18,500,40,40
78.2,1236.9,500,40,40
93.7,2262.1,500,40,40
112,3493.6,500,40,40
134,4764.6,500,40,40
